2017-09-17 17:36:20,958 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-gui-config:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:20,963 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:sumatra-gui-log:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:21,437 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:21,439 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 52 resources
2017-09-17 17:36:21,768 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-17 17:36:21,768 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-17 17:36:22,017 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-model:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,088 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee\pom.xml.
2017-09-17 17:36:22,092 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.dhbw.sumatra:sumatra:5.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\pom.xml.
2017-09-17 17:36:22,094 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-autoreferee:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,109 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:sumatra-gui-visualizer:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,160 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-model:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,177 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-timer:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,203 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-referee:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,214 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-autoreferee:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,289 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:sumatra-gui-visualizer:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,325 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-wp-kalman:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,340 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-gui-config:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,367 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:sumatra-gui-log:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,603 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-model:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:22,684 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee-gui:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee-gui\pom.xml.
2017-09-17 17:36:23,576 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-model:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:23,753 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee-main:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee-main\pom.xml.
2017-09-17 17:36:23,829 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:common-gui-config:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\common-gui-config\pom.xml.
2017-09-17 17:36:23,847 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:common-model:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:24,351 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.tigers.sumatra:autoreferee-main:1.0 @ E:\eclipse-java-oxygen-R-win32-x86_64\workspace\Sumatra\modules\autoreferee-main\pom.xml.
2017-09-17 17:36:24,353 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-timer:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:24,456 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-referee:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:24,473 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-autoreferee:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:24,486 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:sumatra-gui-visualizer:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:24,507 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:moduli-wp-kalman:jar:1.0 is missing, no dependency information available
2017-09-17 17:36:24,518 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.tigers.sumatra:sumatra-gui-log:jar:1.0 is missing, no dependency information available
